ID,SEXO,EDAD,GRADO_INSTRUCCION,TIPO_CARGO,EXPERIENCIA,GERENCIA,CREDIBILIDAD,RESPETO,IMPARCIALIDAD,ORGULLO,CAMARADERIA,GENERAL,COMENTARIO,TARGET
111,Masculino,de 31 a 38,Universitaria completa,Tecnico,de 7 a 9,Alimentos y Bebidas,2.90625,2.666666667,2.666666667,3.222222222,2.85,2,Que el trato y el desempeño profesional sea igual para todos que se nivele los puestos y sueldos que se reconozca a los que en realidad ponen su esfuerzo en el área que se de las herramientas necesarias y que se reconozca todas las áreas no solo algunas.,DETRACTOR
115,Masculino,de 23 a 30,Tecnico incompleto,Tecnico,de 1 a 3,Alimentos y Bebidas,3.3125,2.966666667,2.833333333,4,3.75,3.5,Que la remuneración de los colaboradores sea justa a veces cuando uno ve que afuera dice ahí pagarán bien pero cuando estás dentro otra es la historia.,DETRACTOR
118,Masculino,de 23 a 30,Tecnico completo,Tecnico,de 1 a 3,Alimentos y Bebidas,2.53125,2.7,2.208333333,2.555555556,2.8,3.5,Pagar lo justo a sus trabajadores los cuales trabajamos más que otros y ganamos menos.,DETRACTOR
119,Masculino,de 23 a 30,Tecnico completo,Tecnico,de 1 a 3,Alimentos y Bebidas,3.71875,3.666666667,3.375,3.777777778,3.35,3,El trato entre áreas más comunicación más respeto tratarnos todos por igual porque primero que trabjadores somos personas y trabajamos en una misma empresa. Por ende todos somos responsables de los éxitos y fracasos. El clima laboral debe mejorar mucho!,DETRACTOR
121,Masculino,de 23 a 30,Tecnico completo,Tecnico,de 1 a 3,Alimentos y Bebidas,3.4375,3.233333333,3.125,3.333333333,3.25,3,Pues establecer bien el sueldo del personal ya que en otras empresas pagan un poco más. El aumento sería por el grado de estudio eso sería genial.,DETRACTOR
124,Masculino,de 23 a 30,Universitaria incompleta,Tecnico,de 4 a 6,Alimentos y Bebidas,2.625,2.866666667,2.458333333,3.333333333,2.7,3.5,Creo yo que el trato de nuestros superiores en ciertas oportunidades no es justa e incluso a nivel sueldo no hay un cierto respeto a las personas con mayor tiempo de servicio.,DETRACTOR
128,Masculino,menor de 23,Secundaria o menor,Jefe,de 1 a 3,Alimentos y Bebidas,3.71875,4.033333333,3.791666667,3.666666667,3.6,5,Sí buen trato con las personas y porque son amables. Buenos beneficios es un buen lugar para trabajar.,PROMOTOR
129,Masculino,de 31 a 38,Tecnico completo,Auxiliar,menor de 1,Alimentos y Bebidas,4.6875,4.766666667,4.791666667,4.944444444,4.9,5,Yo siento el espíritu de trabajo y desarrollo emocional para yo desarrollarlo con cada persona dentro de Atlantic City.,PROMOTOR
132,Masculino,de 39 a 45,Tecnico incompleto,Auxiliar,de 1 a 3,Alimentos y Bebidas,3.78125,4.333333333,3.791666667,4.555555556,4.6,5,Es cálido y un lugar con personas que valoran lo que uno hace como trabajador.,PROMOTOR
134,Masculino,de 23 a 30,Tecnico completo,Auxiliar,de 4 a 6,Alimentos y Bebidas,3.34375,3.133333333,2.916666667,3.222222222,3.45,3.5,Debe haber más convenios de estudios para los jovenes  y más incentivo para los trabajadores: promociones y premios por una gran labor.,DETRACTOR
137,Femenino,de 39 a 45,Tecnico completo,Auxiliar,de 7 a 9,Alimentos y Bebidas,4.28125,4.433333333,4.416666667,4.388888889,4.25,4,La empresa es sólida son puntuales en el pago y el seguro social.,PROMOTOR
140,Masculino,de 23 a 30,Secundaria o menor,Auxiliar,menor de 1,Alimentos y Bebidas,3.71875,3.366666667,3.416666667,4.388888889,4.6,5,Me gustó como centro de labor trabajadas como si estuvieras en casa y eso es muy importante.,PROMOTOR
143,Masculino,de 23 a 30,Tecnico completo,Auxiliar,menor de 1,Alimentos y Bebidas,4.46875,4.466666667,4.416666667,4.444444444,4.9,5,Ambiente de trabajo: es un lugar muy cómodo desde que llegas hasta que sales la gente súper divertida los jefes los beneficios y todo en gneral hace que sea una buena empresa en general.,PROMOTOR
146,Masculino,de 31 a 38,Tecnico completo,Auxiliar,de 1 a 3,Alimentos y Bebidas,2.625,2.533333333,2,2.833333333,2.9,3,No se debe cobrar por la alimentación a los trabajadores de cocina.,DETRACTOR
147,Masculino,de 23 a 30,Tecnico completo,Auxiliar,de 1 a 3,Alimentos y Bebidas,3.40625,3,2.583333333,3.444444444,3.3,4,Agregaría evaluaciones en el personal para seleccionar a los mejores trabajadores. Esto fomentaría mayor esfuerzo del personal.,DETRACTOR
148,Masculino,de 31 a 38,Tecnico incompleto,Auxiliar,de 7 a 9,Alimentos y Bebidas,2.21875,2.233333333,2.25,2.666666667,2.8,1,De que seamos honestos con todos los trabajadores y lo justo para todos que Dios los bendiga.,DETRACTOR
149,Masculino,de 23 a 30,Tecnico completo,Auxiliar,menor de 1,Administracion,3.84375,4.133333333,3.625,4.166666667,4.5,4,En el poco tiempo que estuve he logrado observar la unión de los equipos de trabajo de cada área haciendo todo lo posible por lograr un objetivo.,PROMOTOR
157,Masculino,de 39 a 45,Universitaria completa,Jefe,de 4 a 6,Administracion,4.1875,4.133333333,3.916666667,4.111111111,4,4,Su espíritu de camaradería y familiaridad entre sus miembros.,PROMOTOR
160,Masculino,de 31 a 38,Secundaria o menor,Tecnico,de 1 a 3,Administracion,4.3125,4.633333333,4.291666667,4.444444444,4.55,5,Si en este casino se puede trabajar con mucha tranquilidad hay mucho compañerismo hay calidad y mucha responsabilidad. Tengo todos los beneficios y es un lugar muy acogedor y agradable.,PROMOTOR
162,Masculino,de 31 a 38,Tecnico incompleto,Tecnico,de 1 a 3,Administracion,4.5,4.666666667,4.625,4.611111111,3.7,5,Creo que estamos en una gran empresa donde hay un gran clima laboral y motiva seguir adelante.,PROMOTOR
164,Masculino,menor de 23,Secundaria o menor,Tecnico,menor de 1,Administracion,4.53125,4.766666667,4.583333333,4.722222222,4.85,5,Me gusta el buen clima laboral que hay en la corporación.,PROMOTOR
165,Masculino,de 23 a 30,Tecnico incompleto,Tecnico,de 1 a 3,Administracion,4.5,4.2,4.166666667,4.777777778,4.7,5,No solo es un trabajo uno se siente cómodo seguro y que puede trabajar tranquilo.,PROMOTOR
170,Masculino,menor de 23,Secundaria o menor,Tecnico,menor de 1,Administracion,4.09375,3.9,3.958333333,4,3.8,5,La consideración mutua que hay hacia el colaborador.,PROMOTOR
173,Masculino,de 39 a 45,Secundaria o menor,Tecnico,de 1 a 3,Administracion,4.28125,3.866666667,3.75,4.222222222,4.35,5,Sí porque en la corporación no hay límite de edad como en otras empresas.,PROMOTOR
174,Masculino,de 39 a 45,Secundaria o menor,Auxiliar,de 4 a 6,Administracion,3.75,4.2,3.833333333,4.555555556,4.15,5,Sí porque reune a todos los trabajadores en la mobilidad un almuerzo y fiesta de niños y juegos.,PROMOTOR
175,Femenino,de 23 a 30,Secundaria o menor,Auxiliar,de 1 a 3,Administracion,2.65625,2.6,2.583333333,3.166666667,2.9,2.5,Que deben dar la comida gratis. Y que los beneficios sean para todos iguales y en todas las áreas.,DETRACTOR
177,Masculino,de 31 a 38,Tecnico completo,Tecnico,de 4 a 6,Administracion,3.46875,3.066666667,2.875,3.277777778,3.55,3.5,Que el área de adminstración también tenga algunos beneficios que tiene el área de operaciones.,DETRACTOR
179,Masculino,de 31 a 38,Tecnico incompleto,Tecnico,de 4 a 6,Administracion,4.53125,4.4,4.166666667,4.666666667,4.65,5,Atlantic City es un gran lugar para trabajar por los beneficios que dan por ejemplo utilidades bonos gratificaciones Navidad para los niños Día del Pa,PROMOTOR
184,Masculino,mayor de 46,Tecnico incompleto,Tecnico,de 1 a 3,Administracion,4.03125,4.066666667,4.416666667,4.555555556,3.9,5,Es un lugar acogedor con todos los equipos para poder realizar nuestro trabajo.,PROMOTOR
188,Masculino,de 31 a 38,Tecnico completo,Tecnico,de 7 a 9,Administracion,4.0625,4.033333333,3.958333333,4.277777778,4.1,4,Que el área a la que pertenezco es un lugar donde me siento en familia.,PROMOTOR
193,Masculino,de 23 a 30,Tecnico completo,Tecnico,de 1 a 3,Administracion,4.65625,4.5,4.375,5,4.7,5,Sí sentirse como en casa algo bueno es que los nuevos supervisores nos dejan realizar los trabajos solos sin su supervisión haciendo que haya una buena confianza.,PROMOTOR
196,Masculino,de 39 a 45,Tecnico completo,Tecnico,de 7 a 9,Administracion,3.9375,4.2,3.958333333,4.333333333,4.5,5,Es toda su preocupación por el trabajador brindándole todo para que realice su trabajo.,PROMOTOR
197,Masculino,de 23 a 30,Tecnico incompleto,Tecnico,menor de 1,Administracion,4.4375,4.266666667,4.125,4.777777778,4.35,5,Sí su manejo y percepción con los trabajadores a través de charlas y auditorios ahorro con convenios de centro de estudios.,PROMOTOR
198,Masculino,de 31 a 38,Tecnico completo,Tecnico,de 1 a 3,Administracion,4.21875,4.1,4.208333333,4.111111111,3.55,4.5,Pienso que el grupo que formé con los compañeros y la organización de la empresa (el cómo se consolida).,PROMOTOR
199,Masculino,de 23 a 30,Tecnico completo,Tecnico,de 1 a 3,Administracion,4.34375,4.566666667,4.083333333,4.611111111,4.3,4.5,Nos brindan en mayoría las herramientas necesarias en cada labor. Y la oportunidad para perseverar con nuestro desarrollo profesional. Trabajo en equipo regular remuneración buen ambiente y beneficios sociales-económicos.,PROMOTOR
201,Masculino,mayor de 46,Tecnico completo,Jefe,de 1 a 3,Administracion,4.375,4.733333333,4.208333333,4.555555556,4.6,5,A través de mi experiencia laboral en muchos centros laborales y sobre todo en otra empresa de casinos siento que es un orgullo trabajar en la mejor empresa de entretenimiento.,PROMOTOR
202,Masculino,de 31 a 38,Universitaria incompleta,Jefe,de 4 a 6,Administracion,2.84375,3.033333333,2.875,3.111111111,3,3,El trato justo en igualdad en todas las gerencias. No es posible que todos los colaboradores de la gerencia de operaciones tengan muchos más beneficios que las demás gerencias.,DETRACTOR
203,Masculino,de 31 a 38,Tecnico completo,Jefe,de 7 a 9,Administracion,2.5625,2.7,2.125,3.222222222,2.95,3,La evaluación justa del trabajo que uno realiza el reconocimiento del desempeño en diferentes especialidades como trabajador.,DETRACTOR
208,Masculino,de 31 a 38,Tecnico incompleto,Jefe,de 7 a 9,Administracion,4.6875,4.633333333,4.625,4.444444444,4.65,4.5,Por ser una empresa seria con grandes proyecciones y cuidado del personal.,PROMOTOR
210,Masculino,de 39 a 45,Tecnico completo,Jefe,de 7 a 9,Administracion,4,4.4,4.125,4.777777778,4.2,5,Desde que he empezado a trabajar ha ido mejorando poco a poco. En ampliación de algunas áreas como el gimnasio.,PROMOTOR
211,Masculino,de 31 a 38,Tecnico completo,Jefe,de 7 a 9,Administracion,4.03125,4.333333333,3.625,4.555555556,4.3,5,Se están preocupando más en el personal ya que son piezas importates en una empresa.,PROMOTOR
212,Masculino,mayor de 46,Universitaria completa,Jefe,de 7 a 9,Administracion,4.65625,4.933333333,4.458333333,4.777777778,4.85,5,Se dan los recursos para la solución de cualquier actividad en provecho de las operaciones comerciales y administrativas de la empresa.,PROMOTOR
213,Masculino,mayor de 46,Universitaria completa,Jefe,de 7 a 9,Administracion,4.84375,4.833333333,4.708333333,5,5,5,La permanente preocupación en todos sus instrumentos para mejorar y crecer en el rubro a través de un cada vez mejor trato a su recurso humano.,PROMOTOR
214,Masculino,de 31 a 38,Secundaria o menor,Auxiliar,menor de 1,Administracion,4.28125,4.2,4.166666667,4.777777778,4.9,5,Que mejore la comida y que sea tratable con los jefes del personal.,PROMOTOR
215,Masculino,de 31 a 38,Tecnico incompleto,Auxiliar,de 1 a 3,Administracion,4.46875,4.133333333,3.833333333,4.722222222,4.35,5,Es un lugar seguro y te hacen sentir como en familia.,PROMOTOR
217,Masculino,de 23 a 30,Secundaria o menor,Auxiliar,de 1 a 3,Administracion,4.28125,4.2,4.041666667,4.444444444,4.45,5,Sí yo me siento bien laborando en este empresa y me siento contento.,PROMOTOR
218,Masculino,de 31 a 38,Tecnico incompleto,Auxiliar,menor de 1,Administracion,4.1875,4.133333333,4.125,4.777777778,4.55,5,Es una empresa donde hay una grata calidad de trabajo y se encuentran oportunidades para salir más adelante de lo que uno es.,PROMOTOR
219,Masculino,menor de 23,Secundaria o menor,Auxiliar,de 1 a 3,Administracion,4.84375,4.5,4.416666667,4.722222222,4.65,5,Que aquí uno se siente en familia y la forma como nos tratamos entre compañeros.,PROMOTOR
221,Masculino,de 23 a 30,Secundaria o menor,Auxiliar,menor de 1,Administracion,3.96875,4.333333333,4.083333333,4.5,4.8,5,Sus ambientes son buenos para trabajar y que hay mucho compañerismo en todas las áreas.,PROMOTOR
222,Masculino,menor de 23,Secundaria o menor,Auxiliar,de 1 a 3,Administracion,3,3.6,4.541666667,3,3.55,3,Quisiera que los supervisores nos den un buen trato y en serio quisiéramos cambios en uniformes y el bono ya que eso nos hace sentir como la última rueda del coche.,DETRACTOR
223,Masculino,de 23 a 30,Secundaria o menor,Auxiliar,de 1 a 3,Administracion,4.28125,4.233333333,4.291666667,4.055555556,4.2,4.5,Los beneficios en clima laboral y los reconocimientos.,PROMOTOR
224,Masculino,menor de 23,Secundaria o menor,Auxiliar,de 1 a 3,Administracion,4.34375,3.9,4.375,3.777777778,4.35,4,Es un lugar entretenido los beneficios hay compañerismo la oportunidad de poder ascender ya que otras empresas no lo hacen.,PROMOTOR
227,Masculino,menor de 23,Secundaria o menor,Auxiliar,menor de 1,Administracion,1.90625,1.933333333,2.458333333,2.222222222,2.25,2.5,Bono mensual para nosotros que no tenemos beneficios y también queremos cuando cumplimos un año pasarse de área.,DETRACTOR
228,Masculino,de 39 a 45,Tecnico incompleto,Auxiliar,menor de 1,Administracion,4.21875,4.5,4.333333333,4.833333333,4.9,5,Sí desde que ingresamos a laborar te hacen sentir muy especial porque hay personas muy respetuosas que valoran lo que haces en tu área de trabajo.,PROMOTOR
230,Masculino,de 39 a 45,Secundaria o menor,Asistente,de 7 a 9,Administracion,3.9375,3.933333333,3.958333333,4.444444444,4.05,5,La capacitación que brindan a sus trabajadores el respeto que existe para el trabajador las oportunidades de desarrollo.,PROMOTOR
231,Masculino,de 39 a 45,Tecnico incompleto,Asistente,de 1 a 3,Administracion,3.90625,4.133333333,3.958333333,4.5,4.3,5,En esta etapa se está viendo un poco más de preocupación de parte de la Gerencia de RRHH hacia el colaborado eso es bueno para todos.,PROMOTOR
