ID;SEXO;EDAD;GRADO_INSTRUCCION;GRADO_OCUPACIONAL;TIPO_CARGO;AÑOS_TRABAJANDO;GERENCIA;AREA;CREDIBILIDAD;RESPETO;IMPARCIALIDAD;ORGULLO;CAMARADERIA;GENERAL;CALIFICACION;SUGERENCIA;TARGET
011;Femenino;de 23 a 30 años;Post-grado;Asistente Analista;Trabajador;menos de 1 año;Gerencia de Recursos Humanos;No indica;4.1875;4.333333333;4.291666667;4.666666667;4.55;5;La cordialidad y amabilidad de las personas;El horario de trabajo;PROMOTOR
012;Masculino;de 23 a 30 años;Post-grado;Asistente Analista;Trabajador;de 1 a 3 años;Gerencia de Recursos Humanos;No indica;5;5;5;5;5;5;"""Familia"" es la palabra que simplifica todo.";No indica;PROMOTOR
013;Masculino;de 31 a 38 años;Universitaria completa;Asistente Analista;Trabajador;de 7 a 9 años;Gerencia de Recursos Humanos;No indica;4.5625;4.566666667;4.541666667;4.666666667;4.85;5;El apoyo entre áreas y compañeros.;Motivación económica al trabajador.;PROMOTOR
014;Masculino;de 39 a 45 años;Universitaria completa;Asistente Analista;Trabajador;de 7 a 9 años;Gerencia de Recursos Humanos;No indica;4.21875;4.4;4.083333333;4.555555556;4.55;4.5;El apoyo que hay entre cada uno de nosotros.;No indica;PROMOTOR
015;Masculino;de 46 años o más;Universitaria completa;Asistente Analista;Trabajador;de 4 a 6 años;Gerencia de Recursos Humanos;No indica;4.6875;4.4;4.541666667;4.611111111;4.55;4.5;No indica;No indica;PROMOTOR
016;Masculino;de 23 a 30 años;Universitaria completa;Asistente Analista;Trabajador;menos de 1 año;Gerencia de Recursos Humanos;No indica;4.375;4.066666667;4.333333333;4.277777778;4.9;5;La cultura que reina en la empresa busca el confort y desarrollo del empleado.;Mayor comunicación de logros entre todos para motivarnos.;PROMOTOR
017;Femenino;de 31 a 38 años;Instituto superior o técnico completo;Asistente Analista;Trabajador;de 1 a 3 años;Gerencia de Recursos Humanos;No indica;4.875;4.666666667;4.666666667;4.888888889;5;5;La acogida del personal que labora en todas las áreas. La confraternidad.;No indica;PROMOTOR
018;Femenino;de 31 a 38 años;Universitaria completa;Asistente Analista;Trabajador;menos de 1 año;Gerencia de Recursos Humanos;No indica;4.15625;3.933333333;3.833333333;4.111111111;4.45;5;No indica;No indica;PROMOTOR
019;Femenino;de 23 a 30 años;Universitaria completa;Asistente Analista;Trabajador;menos de 1 año;Gerencia de Recursos Humanos;No indica;4.34375;4.233333333;4.458333333;4.666666667;4.65;5;No indica;No indica;PROMOTOR
020;Femenino;de 31 a 38 años;Instituto superior o técnico completo;Asistente Analista;Trabajador;de 4 a 6 años;Gerencia de Recursos Humanos;No indica;4.96875;4.866666667;4.458333333;5;5;5;No indica;No indica;PROMOTOR
021;Femenino;de 39 a 45 años;Instituto superior o técnico incompleto;Auxiliar (otros);Trabajador;de 1 a 3 años;Gerencia de Recursos Humanos;No indica;5;4.9;5;5;4.95;5;El ambiente, trato y preocupación por el trabajador.;No indica;PROMOTOR
022;Femenino;de 31 a 38 años;Post-grado;Jefe / Sub Jefe;Jefaturas (Jefe, Supervisor, Encargados);de 4 a 6 años;Gerencia General;No indica;4.78125;4.833333333;4.875;5;4.9;5;No indica;No indica;PROMOTOR
023;Masculino;de 23 a 30 años;Universitaria completa;Encargado;Jefaturas (Jefe, Supervisor, Encargados);menos de 1 año;Gerencia General;No indica;3.90625;3.9;3.833333333;3.222222222;3.7;3.5;La reputación del tiempo que tiene como negocio y que por eso es conocido en el rubro.;Disponibilidad de mirar talento interno que tiene competencias mejor desarrolladas para áreas en las que no trabaja actualmente y ubicarlos donde pueden desarrollar su talento y competencia.;NEUTRO
024;Masculino;de 46 años o más;Universitaria completa;Encargado;Jefaturas (Jefe, Supervisor, Encargados);de 7 a 9 años;Gerencia General;No indica;3.8125;3.766666667;3.708333333;4.111111111;3.85;4;La calidez de la gente y su compromiso para ser mejores.;No indica;NEUTRO
025;Femenino;de 46 años o más;Universitaria completa;Encargado;Trabajador;de 10 a 15 años;Gerencia General;No indica;4.4375;4.333333333;4.166666667;4.5;4.2;5;Sí!!! Su gente, la gran mayoría está identificada con los objetivos de la empresa y da más del 100%;En algunas áreas trabajar con los jefes para mejorar el trato con sus colaboradores. Dar capacitaciones a nivel conque los aumentos sean otorgados teniendo en cuenta el desempeño y tiempo que se dan.;PROMOTOR
026;Masculino;de 39 a 45 años;Universitaria completa;Encargado;Jefaturas (Jefe, Supervisor, Encargados);de 7 a 9 años;Gerencia General;No indica;4.375;4.333333333;4.166666667;4.666666667;4.35;5;Calor humano y respeto entre compañeros.;Convenios con instituciones para Post-grado.;PROMOTOR
027;Masculino;de 31 a 38 años;Instituto superior o técnico incompleto;Auxiliar (otros);Trabajador;de 10 a 15 años;Gerencia General;No indica;3.78125;3.866666667;3.708333333;3.833333333;4.15;4;No indica;No indica;NEUTRO
028;Masculino;de 31 a 38 años;Secundaria o menor;Auxiliar (otros);Trabajador;de 10 a 15 años;Gerencia General;No indica;4.15625;3.833333333;3.541666667;3.833333333;3.8;4;No indica;Que los gerentes y jefes sean justos y que repartan las utilidades todo por igual como era en los años anteriores.;NEUTRO
029;Masculino;de 46 años o más;Universitaria completa;Jefe / Sub Jefe;Jefaturas (Jefe, Supervisor, Encargados);de 7 a 9 años;Gerencia de Finanzas;Tesorería;4.9375;4.666666667;5;5;5;5;Empresa que cumple fielmente con todos los beneficios laborales del colaborador.;No indica;PROMOTOR
030;Femenino;de 31 a 38 años;Universitaria incompleta;Asistente Analista;Trabajador;menos de 1 año;Gerencia de Finanzas;Tesorería;4.84375;4.733333333;4.833333333;4.888888889;5;5;Los jefes y gerentes son accesibles para la comunicación o consultas que le pueda realizar.;No indica;PROMOTOR
031;Femenino;de 23 a 30 años;Instituto superior o técnico completo;Asistente Analista;Trabajador;de 1 a 3 años;Gerencia de Finanzas;Tesorería;4.5;4.2;4.25;4.666666667;4.75;5;No indica;No indica;PROMOTOR
032;Masculino;de 23 a 30 años;Instituto superior o técnico incompleto;Auxiliar (otros);Trabajador;de 4 a 6 años;Gerencia de Finanzas;Tesorería;4.5625;4.4;4.583333333;4.5;4.55;5;Nos ofrecen grandes beneficios no solo económicos, sino también de diversa índole (canjes para eventos, acuerdos sobre precios, descuentos y convenios estudiantiles);Lo que recomendaría es que nos brindaron más capacitaciones y actualizaciones administrativas.;PROMOTOR
033;Masculino;de 46 años o más;Universitaria completa;Jefe / Sub Jefe;Jefaturas (Jefe, Supervisor, Encargados);de 7 a 9 años;Gerencia de Finanzas;Contabilidad;4.25;4.4;4.5;4.666666667;4.45;5;El trato familiar y que cumplen puntualmente nuestros beneficios.;Necesitamos evaluar la atención médica de otra EPS.;PROMOTOR
034;Masculino;de 46 años o más;Universitaria completa;Jefe / Sub Jefe;Jefaturas (Jefe, Supervisor, Encargados);de 7 a 9 años;Gerencia de Finanzas;Contabilidad;4.40625;4.266666667;4.416666667;4;4.5;4.5;Sí, aquí existe bune trato y buena amabilidad y camaradería.;Un poco más de reconocimiento e importancia de la labor que realiza cada área.;PROMOTOR
035;Masculino;de 31 a 38 años;Universitaria completa;Asistente Analista;Trabajador;de 1 a 3 años;Gerencia de Finanzas;Contabilidad;4.03125;3.7;3.958333333;4.444444444;4.1;4;No indica;Necesitamos una mejor organización en la oficina de contabilidad para poder ordenar nuestros archivos. Ampliación o ubicación de un nuevo almacén para los archivos de contabilidad tomando en cuenta la magnitud de la información que se maneja.;PROMOTOR
036;Femenino;de 23 a 30 años;Universitaria completa;Asistente Analista;Trabajador;de 1 a 3 años;Gerencia de Finanzas;Contabilidad;3.625;3.633333333;3.958333333;4;3.9;3.5;Lo acogedor, simpatía con lo que reciben a un nuevo personal.;Debería seguir mejorando los convenios estudiantiles así como los beneficios que recibimos en rubros como entretenimiento, En cuanto a la gerencia dar oportunidad de capacitaciones de acuerdos a las responsabilidades asignadas en temas de contabilidad y así poder como trabajador presentar un trabajo con calidad. En cuando a la alimentación, proporcionar un menú correctamente balanceado de acuerdo a indicaciones nutricionales: frutas, refuerzos naturales, comida menos salada. Mejorar la infraestructura de nuestra oficina, ya que somos un área que maneja mucha información y papelería, necesitamos un mayor espacio o reorganización de ello. Ver la opción de considerar el pago de horas extras. Ampliar el lugar del gimnasio debido a que actualmente ya queda copado por momentos.;NEUTRO
037;Femenino;22 años o menos;Universitaria completa;Asistente Analista;Trabajador;menos de 1 año;Gerencia de Finanzas;Contabilidad;3.3125;2.733333333;3.208333333;3.555555556;3.55;3;No indica;Deberían realizar capacitaciones para áreas que lo necesitan como la nuestra. Mejorar la alimentación del comedor, que sea más variada y saludable. Reorganizar el área por la cantidad de documentación que demanda el área y no tenemos suficiente espacio para tener un buen desarrollo del desempeño, eso trae muchos problemas tanto de incomodidad como espacio, ergonómico y problemas de salud (aire acondicionado, oficina, etc). Evaluar la posibilidad de nivelar los sueldos que hay en el área puesto que manteniendo el mismo puesto, las diferencias en el sueldo es muy diferente e injusto. Ampliar el gimnasio para poder tener más espacio entre máquinas y desarrollar cambios.;NEUTRO
038;Femenino;de 31 a 38 años;Post-grado;Supervisor;Jefaturas (Jefe, Supervisor, Encargados);de 1 a 3 años;Gerencia de Finanzas;Contabilidad;4.375;4.333333333;4.666666667;4.166666667;4.4;4;Los convenios que existen con las instituciones educativas.;Cambiar sistemas EPS ya que pienso que es limitado en atenciones en algunas clínicas. Entregar bonos muy aparte de productividad como hay en otras áreas. Mejorar el sistema de alimentación del comedor.;PROMOTOR
039;Femenino;de 23 a 30 años;Post-grado;Asistente Analista;Trabajador;de 1 a 3 años;Gerencia de Finanzas;Contabilidad;3.4375;3.7;4.125;3.777777778;3.8;3.5;Los beneficios corporativos que nos están dando.;Cambiaría la infraestructura de mi área ya que es muy incómoda y reducida. Cambio de EPS. La comidad del comedor. Premiación con cursos para los empleados más destacados.;NEUTRO
040;Femenino;de 31 a 38 años;Universitaria completa;Asistente Analista;Trabajador;de 4 a 6 años;Gerencia de Finanzas;Contabilidad;4.125;4.166666667;4.25;4.222222222;4.2;4.5;No indica;Ampliar el archivo contable ya que tenemos una gran cantidad de documentación en custodia.;PROMOTOR
041;Femenino;de 23 a 30 años;Universitaria completa;Asistente Analista;Trabajador;de 1 a 3 años;Gerencia de Finanzas;Contabilidad;4.3125;3.866666667;4.375;4.5;4.2;4;No indica;Cambiaría la EPS, sería factible que se haga una licitación y se analice otras entidades, puede haber otra entidad que nos de más beneficios y coberturas como por ejemplo Pacífico EPS. Sería bueno analizar el cambio y hacer una encuesta a los trabajadores si están de acuerdo.;PROMOTOR
042;Masculino;de 31 a 38 años;Instituto superior o técnico completo;Auxiliar (otros);Trabajador;de 1 a 3 años;Gerencia de Finanzas;Logística;3.09375;2.7;3.166666667;2.888888889;3.6;4;No indica;No indica;NEUTRO
043;Femenino;de 31 a 38 años;Universitaria completa;Asistente Analista;Trabajador;de 4 a 6 años;Gerencia de Finanzas;Logística;2.625;2.6;2.583333333;3.333333333;3.55;3;Considero que mis compañeros de área y el buen ambiente y camaradería que tenemos entre nosotros hacen que sea agradable venir a trabajar.;Que mi jefe inmediato se preocupe más por las opiniones de su equipo.;DETRACTOR
044;Femenino;de 23 a 30 años;Universitaria incompleta;Asistente Analista;Trabajador;de 1 a 3 años;Gerencia de Finanzas;Logística;2.09375;2.266666667;1.875;3.222222222;2.65;4;Las lindas amistades que uno logra en el área y la unión que hemos logrado entre el resto de mis compañeros.;"Tener un líder encabezando un equipo no un ""jefe"" que es lo que actualmente se ve en el área. Un jefe capacitado con criterio e ideas, que se preocupe por el equipo y la empresa y no se preocupe más por sus temas personales. Mi jefe ha creado su propia empresa y se preocupa más en su empresa que en sus labores como jefe de logística, involucra sus temas de su empresa con el área y eso afecta nuestras labores dentro del área.";DETRACTOR
045;Masculino;de 31 a 38 años;Universitaria completa;Asistente Analista;Trabajador;de 1 a 3 años;Gerencia de Finanzas;Logística;4.1875;3.866666667;4.083333333;4.5;4.25;4;No indica;No indica;PROMOTOR
046;Femenino;de 31 a 38 años;Universitaria completa;Asistente Analista;Trabajador;de 1 a 3 años;Gerencia de Finanzas;Logística;3.3125;3.166666667;2.708333333;3.333333333;3.45;3;Es una empresa reconocida y hay un buen trato.;Dar más oportunidades para estudiar y brindar el sueldo que corresponde según el cargo que desempeñar y saber elegir al jefe.;NEUTRO
047;Masculino;de 31 a 38 años;Universitaria completa;Asistente Analista;Trabajador;de 1 a 3 años;Gerencia de Finanzas;Logística;2.28125;2.6;2.416666667;2.888888889;2.75;2.5;No indica;No indica;DETRACTOR
048;Masculino;de 39 a 45 años;Instituto superior o técnico completo;Jefe / Sub Jefe;Jefaturas (Jefe, Supervisor, Encargados);de 7 a 9 años;Gerencia de Finanzas;Logística;4.875;4.866666667;4.375;4.888888889;4.6;5;Su infraestructura.;No indica;PROMOTOR
049;Masculino;de 23 a 30 años;Instituto superior o técnico completo;Auxiliar (otros);Trabajador;de 7 a 9 años;Gerencia de Finanzas;Almacenes y Preparación Previa;3.40625;3.233333333;3.5;4.055555556;3.6;4;Es una empresa de gran prestigio en el mercado laboral que cumple puntual con sus pagos a sus trabajadores y reconoce a sus trabajadores cada mes para hacerles sentir bien.;Para mi parecer lo que cambiaría sería de no crear cargos innecesarios si no que sea parcial y que el personal con más antigüedad se le reconozca económicamente para así sentirse más orgulloso de trabajar en esta gran empresa que cada año crece más.;NEUTRO
050;Masculino;de 23 a 30 años;Instituto superior o técnico completo;Auxiliar (otros);Trabajador;de 1 a 3 años;Gerencia de Finanzas;Almacenes y Preparación Previa;4.5625;4.666666667;4.5;4.722222222;4.7;5;Se nos da oportunidad de pedir permiso para resolver problemas personales haciendo notar que le importa a nuestro jefe que estemos atentos y tranquilos.;Que se nos diera pasaje a todos los que trabajamos en horario de amanecida y no solo a algunos.;PROMOTOR
051;Femenino;de 46 años o más;Instituto superior o técnico incompleto;Auxiliar (otros);Trabajador;más de 15 años;Gerencia de Finanzas;Almacenes y Preparación Previa;3.375;3.333333333;3;3.5;4;4;No indica;Cumbiar en justa manera en cuanto de aumento remuneración para que puedan sentirse bien el trabajador.;NEUTRO
052;Masculino;de 23 a 30 años;Instituto superior o técnico incompleto;Auxiliar (otros);Trabajador;de 1 a 3 años;Gerencia de Finanzas;Almacenes y Preparación Previa;2.8125;3.3;3.208333333;3.5;3.45;3.5;No indica;Que haya más actividad y coordinación.;NEUTRO
053;Masculino;de 23 a 30 años;Instituto superior o técnico incompleto;Auxiliar (otros);Trabajador;de 1 a 3 años;Gerencia de Finanzas;Almacenes y Preparación Previa;4.25;4.566666667;4.125;4.555555556;4.45;4;Yo por mi parte diría que en mi área somos muy unidos y se siente un ambiente acogedor que conosco y puedo trabajar con más ganas.;Las utilidades mejoran un poco más y el menú del día sirvieran más. Gracias!;PROMOTOR
054;Masculino;de 23 a 30 años;Secundaria o menor;Auxiliar (otros);Trabajador;de 1 a 3 años;Gerencia de Finanzas;Almacenes y Preparación Previa;4.28125;4.4;4.208333333;4.611111111;4.75;5;Lo especial es la organización de Recursos Humanos que fomenta la unión, nos capacitan. Su labor es muy importante y necesaria.;No indica;PROMOTOR
055;Masculino;de 23 a 30 años;Instituto superior o técnico completo;Auxiliar (otros);Trabajador;menos de 1 año;Gerencia de Finanzas;Almacenes y Preparación Previa;3.9375;4.2;3.625;4.111111111;4.15;4;Que todos son como una familia.;Podrían cambiar en el comedor la comida más saludable para los trabajadores, comida con más nutrientes y menos grasas.;NEUTRO
056;Masculino;de 23 a 30 años;Universitaria incompleta;Auxiliar (otros);Trabajador;menos de 1 año;Gerencia de Finanzas;Almacenes y Preparación Previa;4.09375;4.4;4.166666667;4.5;4.65;5;Sí, con el trabajo en equipo nos sentimos en familia y con plena confianza de que ante cualquier circunstancia tendremos el apoyo de los demás y el respaldo de nuestros jefes.;Sería respetar un poco más el horario de los trabajadores, realizando ciertos procesos más automatizados y así mejorar la productividad.;PROMOTOR
057;Masculino;de 23 a 30 años;Universitaria incompleta;Auxiliar (otros);Trabajador;de 1 a 3 años;Gerencia de Finanzas;Almacenes y Preparación Previa;3.5;3.9;3.625;3.777777778;3.95;3.5;Los cambios que ha ido generando la empresa ha sido de bueno a mejor y debería un tipo de identificación por antigüedad a los trabajadores, así mismo lo hace el área de SAC. Hay trabajadores que tienen más de 10 años en la empresa, creo que debería darles incentivos anuales por el tiempo, ardua dedicación y fidelidad a la empresa.;Creo que aclarar bien el tema de ser líder y jefe, hay jefes que dicen ser líderes y los hechos son contrarios al de un líder. Se quiere alguien que ayude a empujar el coche y no una persona que solo se dedique a dar órdenes.;NEUTRO
058;Masculino;de 23 a 30 años;Secundaria o menor;Auxiliar (otros);Trabajador;de 1 a 3 años;Gerencia de Finanzas;Almacenes y Preparación Previa;4.59375;4.366666667;4.208333333;4.833333333;4.7;5;Nos hacen sentir como si estuviéramos en casa y ser parte de nuestra familia.;No indica;PROMOTOR
059;Masculino;de 23 a 30 años;Universitaria incompleta;Auxiliar (otros);Jefaturas (Jefe, Supervisor, Encargados);de 4 a 6 años;Gerencia de Finanzas;Almacenes y Preparación Previa;4.84375;4.966666667;4.916666667;5;5;5;La empresa se preocupa por sus trabajadores. La empresa reconoce y hace actividades para los trabajadores. Da oportunidades para estudiar.;Que las personas que estudian animarlas para que hagan sus prácticas pre-profesionales en la empresa. Actualizar los datos de cada colaborador. Buscar personal primero dentro del casino antes de contratar a terceros.;PROMOTOR
060;Masculino;de 23 a 30 años;Secundaria o menor;Auxiliar (otros);Trabajador;de 1 a 3 años;Gerencia de Finanzas;Almacenes y Preparación Previa;4.15625;3.833333333;4.208333333;4.166666667;4;5;Seguir haciendo muy bien nuestro trabajo.;Según mi punto de vista sería un buen pago de utilidades.;PROMOTOR
061;Masculino;de 31 a 38 años;Instituto superior o técnico incompleto;Asistente Analista;Trabajador;de 4 a 6 años;Gerencia de Finanzas;Almacenes y Preparación Previa;4.6875;4.9;4.541666667;4.722222222;4.9;5;Sí creo que todos sus empleados nos tratamos por igual y hay respeto y son justos con todos.;Creo en realidad esta empresa da todo por sus empleados pero es que ttenemos que mejorar son el trato de algunos compañeros.;PROMOTOR
062;Masculino;de 31 a 38 años;Instituto superior o técnico completo;Asistente Analista;Trabajador;de 7 a 9 años;Gerencia de Finanzas;Almacenes y Preparación Previa;4.5625;4.666666667;4.583333333;4.888888889;4.8;5;El trabajo en equipo creo que hace un buen lugar para trabajar.;Promover capacitaciones según el rubro o especialidad donde nos desempeñemos (gestión de almacenes y logística).;PROMOTOR
063;Masculino;de 39 a 45 años;Instituto superior o técnico completo;Asistente Analista;Trabajador;de 7 a 9 años;Gerencia de Finanzas;Almacenes y Preparación Previa;4.34375;4.033333333;4.25;4.833333333;4.55;5;Lo especial es el trabajo en equipo del área.;Lo que cambiaría es el pago de utilidades para los trabajadores creo que solo falta el pago justo.;PROMOTOR
064;Masculino;de 46 años o más;Universitaria completa;Jefe / Sub Jefe;Jefaturas (Jefe, Supervisor, Encargados);de 7 a 9 años;Gerencia de Finanzas;Almacenes y Preparación Previa;4.8125;4.6;4.625;4.777777778;4.7;5;No indica;No indica;PROMOTOR
065;Femenino;de 23 a 30 años;Post-grado;Jefe / Sub Jefe;Jefaturas (Jefe, Supervisor, Encargados);de 4 a 6 años;Gerencia de Alimentos y Bebidas;Administración (A&B);2.90625;3.866666667;3.208333333;3.666666667;3.95;4;No indica;Invertir en educación para especializar más a los colaboradores. Beneficios no monetarios.;NEUTRO
066;Masculino;de 31 a 38 años;Instituto superior o técnico incompleto;Supervisor;Jefaturas (Jefe, Supervisor, Encargados);de 7 a 9 años;Gerencia de Alimentos y Bebidas;Administración (A&B);4.5625;4.733333333;4.708333333;4.722222222;4.8;5;Atlantic City es una familia seria por eso es un gran lugar para estar aquí. No lo veo como trabajo, lo veo como una casa.;Más unión entre todas las áreas de la empresa.;PROMOTOR
067;Masculino;de 23 a 30 años;Universitaria incompleta;Asistente Analista;Trabajador;de 1 a 3 años;Gerencia de Alimentos y Bebidas;Administración (A&B);4.0625;3.9;3.833333333;4;4;4;La unión que hay en sus colaboradores a pesar de ser de otras áreas.;Considerar a todas las áreas por igual en reconocimientos.;NEUTRO
068;Femenino;de 23 a 30 años;Universitaria completa;Auxiliar (otros);Trabajador;menos de 1 año;Gerencia de Alimentos y Bebidas;Administración (A&B);4.59375;4.666666667;4.375;4.666666667;4.6;4.5;Lo especial es que Atlantic City posee mucho potencial para seguir siendo creciendo como corporación.;Lo que cambiaría es la predisposición de las otras áreas para llevar a cabo estrategias de venta y mejoras en el Marketing.;PROMOTOR
069;Femenino;de 23 a 30 años;Instituto superior o técnico incompleto;Auxiliar Mozo (A&B);Trabajador;de 1 a 3 años;Gerencia de Alimentos y Bebidas;Administración (A&B);2.25;2.633333333;2;3.222222222;2.7;1.5;Su infraestructura y mi jefa de área solo ella. La atención en cuando a lo que es alimentos para los clientes.;Yo cambiaría a algunas jefas, porque no veo igualdad muchas veces se dejan llevar por la manipulación y victimización de algunas azafatas. Y veo racismo. Falta transparencia en cuanto comunicar lo que realmente pasa en sala, hay favoritismo.;DETRACTOR
070;Masculino;22 años o menos;Instituto superior o técnico completo;Auxiliar (otros);Trabajador;menos de 1 año;Gerencia de Alimentos y Bebidas;Karaoke (A&B);3.75;3.266666667;3.333333333;4.722222222;4.45;4;En realidad es un buen trabajo, pero deberían aumentar el salario en mi caso porque trabajo de noche y más organización.;Debería mejorar los horarios y ser aperturas y cierres. Más atento a las cosas que hacemos en el turno y consideran nuestro trabajo incentivando como empleado del mes algo así. Deberian de dividir la propina por igual.;NEUTRO
071;Masculino;de 23 a 30 años;Instituto superior o técnico completo;Auxiliar (otros);Trabajador;menos de 1 año;Gerencia de Alimentos y Bebidas;Karaoke (A&B);2.65625;2.666666667;2.833333333;3.277777778;2.9;2;Es un muy buen ambiente para laborar, pero aún tiene muchos defectos.;Tener cada día mejores colaboradores.;DETRACTOR
072;Masculino;de 23 a 30 años;Instituto superior o técnico completo;Técnico (otros);Trabajador;menos de 1 año;Gerencia de Alimentos y Bebidas;Karaoke (A&B);3.3125;2.8;3.208333333;3.833333333;3.3;4;Las instalaciones son muy buenas y es uno de los mejores centros de entretenimiento del país.;La remuneración para DJ es un poco baja sería bueno que tengan o inviertan en equipos de consola de sonido.;NEUTRO
073;Masculino;22 años o menos;Instituto superior o técnico incompleto;Auxiliar Azafata / Mozo (Atención al Cliente);Trabajador;menos de 1 año;Gerencia de Alimentos y Bebidas;Karaoke (A&B);4.1875;4.6;4.041666667;4.277777778;4.05;4;La constante capacitación a sus empleados y los talleres de superación que nos brinda el equipo de Recursos Humanos.;No indica;PROMOTOR
074;Femenino;22 años o menos;Instituto superior o técnico incompleto;Auxiliar Mozo (A&B);Trabajador;menos de 1 año;Gerencia de Alimentos y Bebidas;Karaoke (A&B);3.9375;3.7;4.083333333;4.111111111;3.95;4.5;No indica;No indica;PROMOTOR
075;Masculino;de 23 a 30 años;Secundaria o menor;Auxiliar Mozo (A&B);Trabajador;menos de 1 año;Gerencia de Alimentos y Bebidas;Karaoke (A&B);4.09375;4.166666667;3.708333333;4;4.4;5;Sé que es un gran centro de entretenimiento y diversión. Brinda seguridad a sus clientes.;No indica;PROMOTOR
076;Masculino;de 31 a 38 años;Instituto superior o técnico incompleto;Técnico de Cocina;Trabajador;de 1 a 3 años;Gerencia de Alimentos y Bebidas;Restaurante Eliazar (A&B);1.9375;2.066666667;2.458333333;3.222222222;2.8;2.5;Que es reconocido como un buen casino. Pero eso se ve por fuera.;Como trabajador en área de cocina, la comida debe ser gratuita, es la primera vez que veo que un cocinero tiene que pagar su comida. Debe de haber cursos y capacitaciones. Debe de haber más reuniones entre trabajadores.;DETRACTOR
077;Masculino;de 23 a 30 años;Instituto superior o técnico completo;Técnico de Cocina;Trabajador;de 1 a 3 años;Gerencia de Alimentos y Bebidas;Restaurante Eliazar (A&B);3.40625;3.1;3.083333333;3.5;3.8;3;Lo bueno de aquí es que se hace currículum y te dan todos los beneficios.;Que no se cobre el almuerzo al personal de cocina y que el sueldo aumente.;NEUTRO
